Word,Count,Song
i,17,Next Level Charli
go,27,Next Level Charli
hard,3,Next Level Charli
fast,3,Next Level Charli
and,33,Next Level Charli
never,6,Next Level Charli
look,5,Next Level Charli
back,3,Next Level Charli
speedin,8,Next Level Charli
on,19,Next Level Charli
the,34,Next Level Charli
highway,10,Next Level Charli
burn,3,Next Level Charli
rubber,3,Next Level Charli
no,3,Next Level Charli
crash,3,Next Level Charli
turn,10,Next Level Charli
volume,10,Next Level Charli
up,16,Next Level Charli
in,15,Next Level Charli
party,3,Next Level Charli
put,6,Next Level Charli
your,15,Next Level Charli
hands,6,Next Level Charli
dance,3,Next Level Charli
bump,20,Next Level Charli
rave,7,Next Level Charli
forever,10,Next Level Charli
ever,10,Next Level Charli
bounce,3,Next Level Charli
sleep,3,Next Level Charli
push,3,Next Level Charli
it,3,Next Level Charli
all,3,Next Level Charli
repeat,3,Next Level Charli
flame,3,Next Level Charli
burning,3,Next Level Charli
tire,3,Next Level Charli
screech,3,Next Level Charli
bedroom,3,Next Level Charli
scream,3,Next Level Charli
lights,3,Next Level Charli
out,5,Next Level Charli
drop,2,Next Level Charli
body,2,Next Level Charli
high,2,Next Level Charli
blue,2,Next Level Charli
pink,2,Next Level Charli
like,2,Next Level Charli
sky,2,Next Level Charli
vroom,2,Next Level Charli
vroomin,2,Next Level Charli
might,3,Next Level Charli
die,2,Next Level Charli
prius,2,Next Level Charli
windows,2,Next Level Charli
down,2,Next Level Charli
just,2,Next Level Charli
vibe,2,Next Level Charli
you,1,Next Level Charli
also,1,Next Level Charli
likeroll,1,Next Level Charli
wit,2,Next Level Charli
friends,2,Next Level Charli
till,2,Next Level Charli
7,2,Next Level Charli
am,2,Next Level Charli
come,2,Next Level Charli
meet,2,Next Level Charli
me,2,Next Level Charli
smoke,2,Next Level Charli
blowing,2,Next Level Charli
lets,2,Next Level Charli
race,2,Next Level Charli
speakers,2,Next Level Charli
got,2,Next Level Charli
that,2,Next Level Charli
face,2,Next Level Charli
roll,1,Next Level Charli
xxxcx,1,Next Level Charli
charli,5,Next Level Charli
its,4,Next Level Charli
baby,1,Next Level Charli
i,12,Gone
have,1,Gone
to,2,Gone
go,1,Gone
im,6,Gone
so,11,Gone
sorry,1,Gone
but,3,Gone
it,3,Gone
feels,1,Gone
cold,1,Gone
in,6,Gone
here,5,Gone
am,3,Gone
just,2,Gone
now,1,Gone
realizing,1,Gone
they,12,Gone
dont,5,Gone
care,1,Gone
try,1,Gone
real,1,Gone
hard,1,Gone
caught,1,Gone
up,1,Gone
by,1,Gone
